Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,RSI_14,MA_50,MA_200,Vol_20d_Avg,Vol_Ratio,Momentum_5d,Volatility_20d,52w_High,52w_Low,Dist_from_52w_High,Dist_from_52w_Low
2025-10-01 00:00:00-04:00,659.4152702620313,665.5801794564833,659.3059076216911,664.6654052734375,72545400,0.0,0.0,0.0,,,,,,,,,,,
2025-10-02 00:00:00-04:00,666.6540464714482,666.7733621981591,663.004842335434,665.4309692382812,56896000,0.0,0.0,0.0,,,,,,,,,,,
2025-10-03 00:00:00-04:00,666.1966948783695,668.8714672806448,664.377038831869,665.421142578125,70494400,0.0,0.0,0.0,,,,,,,,,,,
2025-10-06 00:00:00-04:00,667.8174482099862,668.7024238148077,665.669704301124,667.8074951171875,54623300,0.0,0.0,0.0,,,,,,,,,,,
2025-10-07 00:00:00-04:00,668.7322238208072,669.1796881705657,663.8898014056139,665.3316040039062,72020100,0.0,0.0,0.0,,,,,,,,,,,
2025-10-08 00:00:00-04:00,666.4552183740389,669.398481470165,665.6299006256374,669.2990112304688,60702200,0.0,0.0,0.0,,,,,,0.6971336134344197,,,,,
2025-10-09 00:00:00-04:00,669.7166839203261,670.1243359074817,665.4211353124821,667.3600463867188,66501900,0.0,0.0,0.0,,,,,,0.28989891327806383,,,,,
2025-10-10 00:00:00-04:00,668.324542434099,670.1342452495495,649.14378031214,649.32275390625,159422600,0.0,0.0,0.0,,,,,,-2.419278204702513,,,,,
2025-10-13 00:00:00-04:00,656.9095884512618,661.3642043859337,656.0345659370097,659.2860107421875,79560500,0.0,0.0,0.0,,,,,,-1.2760390437823177,,,,,
2025-10-14 00:00:00-04:00,653.4492417720955,662.0602448848334,649.4718888267987,658.4805908203125,88779600,0.0,0.0,0.0,,,,,,-1.029714076764876,,,,,
2025-10-15 00:00:00-04:00,663.0446129876665,666.4352795829697,655.1992699391986,661.4039306640625,81702600,0.0,0.0,0.0,,,,,,-1.1796043971276093,,,,,
2025-10-16 00:00:00-04:00,663.0445999065358,664.9239136533134,653.3895542222015,656.8995971679688,110563300,0.0,0.0,0.0,,,,,,-1.567437139125416,,,,,
2025-10-17 00:00:00-04:00,655.7660892614911,661.9906565438909,654.4138037793879,660.62841796875,96500900,0.0,0.0,0.0,,,,,,1.7411470635344983,,,,,
2025-10-20 00:00:00-04:00,663.5418206897375,668.4041493887289,663.4921159142255,667.499267578125,60493400,0.0,0.0,0.0,52.42719461678241,,,,,1.2457805416941081,,,,,
2025-10-21 00:00:00-04:00,667.638493864759,669.1797060532549,666.1867381348511,667.4893188476562,56249000,0.0,0.0,0.0,52.41826143587246,,,,,1.368108362331677,,,,,
2025-10-22 00:00:00-04:00,668.1953369980629,668.1953369980629,659.5445816579371,664.0191040039062,80564000,0.0,0.0,0.0,48.84447463858612,,,,,0.3953973084523499,,,,,
2025-10-23 00:00:00-04:00,664.3372592841532,668.9012985038863,664.019063764971,667.9566650390625,65604500,0.0,0.0,0.0,51.94981235015705,,,,,1.683220376258876,,,,,
2025-10-24 00:00:00-04:00,672.6300829996666,674.628651928334,671.8246714345047,673.4155883789062,74356500,0.0,0.0,0.0,54.118012984673136,,,,,1.9356070768910216,,,,,
2025-10-27 00:00:00-04:00,678.8645527756448,681.658640907831,678.2580209918731,681.3603515625,63339800,0.0,0.0,0.0,60.894853658030655,,,,,2.076569167583786,,,,,
2025-10-28 00:00:00-04:00,683.1600908523567,685.0095454543999,680.9526890414517,683.1700439453125,61738100,0.0,0.0,0.0,59.71314835029102,,,76632905.0,0.8056343420623295,2.349209890688164,,,,,
2025-10-29 00:00:00-04:00,684.8206562449755,685.795149064121,679.0038013689816,683.4982299804688,85657100,0.0,0.0,0.0,61.5615287341646,,,77288490.0,1.1082775714728028,2.9335189091860725,14.01078637751815,,,,
2025-10-30 00:00:00-04:00,680.0279821977349,682.0564104652303,675.9810180664062,675.9810180664062,76335800,0.0,0.0,0.0,72.48787741177463,,,78260480.0,0.9754067442469047,1.201328386606404,14.690676796688459,,,,
2025-10-31 00:00:00-04:00,681.1614116072222,681.2012239761448,675.3942622450203,678.1983032226562,87164100,0.0,0.0,0.0,68.35198783242578,,,79093965.0,1.1020322473402364,0.7102174238739156,14.712154113855084,,,,
2025-11-03 00:00:00-05:00,681.7878948104295,681.9171636388411,676.0903560257897,679.4711303710938,57315000,0.0,0.0,0.0,70.18555669944557,,,79228550.0,0.7234134664839884,-0.27727195852735864,14.684670428134138,,,,
2025-11-04 00:00:00-05:00,672.2820616639051,676.1103005794487,670.7607556049009,671.4169921875,78427000,0.0,0.0,0.0,58.76420509182291,,,79548895.0,0.9858967871269614,-1.7203698935536638,15.296141858350914,,,,
2025-11-05 00:00:00-05:00,671.1583975728993,677.0051112074705,670.3529860359731,673.7437133789062,74402400,0.0,0.0,0.0,65.32756310996675,,,80233905.0,0.927318694010967,-1.427145846718758,15.203234162660564,,,,
2025-11-06 00:00:00-05:00,672.6399897028363,673.5448715272548,664.9338680034818,666.514892578125,85035300,0.0,0.0,0.0,55.0357248031011,,,81160575.0,1.0477414680711663,-1.4003537429731927,15.673721484133956,,,,
2025-11-07 00:00:00-05:00,664.1284090392404,667.2805048704689,657.4663915648358,667.1710815429688,100592400,0.0,0.0,0.0,49.685841054386835,,,78219065.0,1.2860342935574594,-1.6259583114980436,11.992793494461953,,,,
2025-11-10 00:00:00-05:00,673.4056154266486,678.3176487268574,671.2081667723378,677.5818481445312,75842900,0.0,0.0,0.0,58.056839709058025,,,78033185.0,0.9719313648417657,-0.27805187624831973,12.033263904063526,,,,
2025-11-11 00:00:00-05:00,676.1002762110339,679.6997756663966,674.8871520395073,679.1329956054688,58953400,0.0,0.0,0.0,62.44674498513183,,,76541875.0,0.7702110772697951,1.1492118173580534,11.996412245677089,,,,
2025-11-12 00:00:00-05:00,680.9129156193362,681.0819968300743,677.0946904605516,679.5109252929688,62312500,0.0,0.0,0.0,60.10790018592065,,,75572370.0,0.824540768008202,0.8559949131308642,11.95242775845569,,,,
2025-11-13 00:00:00-05:00,676.6472315164618,677.0051787486752,666.7237544337754,668.235107421875,103457800,0.0,0.0,0.0,45.88664615086385,,,75217095.0,1.3754559385735383,0.2580909838482581,13.273014766688481,,,,
2025-11-14 00:00:00-05:00,661.612768198211,671.8345335183507,659.5147291242073,668.1256713867188,96846700,0.0,0.0,0.0,37.998186751329214,,,75234385.0,1.2872664540289656,0.14308021887614597,13.155000637985193,,,,
2025-11-17 00:00:00-05:00,665.9083353081996,669.8956413839408,658.4209391867944,661.901123046875,90456100,0.0,0.0,0.0,32.142271473140894,,,76732520.0,1.1788495933666716,-2.3142185908013646,13.067664386614952,,,,
2025-11-18 00:00:00-05:00,658.3512953245886,661.354216097308,652.146634691611,656.3427734375,114467500,0.0,0.0,0.0,29.040631256624664,,,79643445.0,1.4372494811092111,-3.3557819036094005,13.371101782158402,,,,
2025-11-19 00:00:00-05:00,657.0388554539629,663.5617119214406,655.0203196831769,658.8783569335938,94703000,0.0,0.0,0.0,35.7000110231527,,,80350395.0,1.1786251953086229,-3.036385081002091,13.363324851158712,,,,
2025-11-20 00:00:00-05:00,669.1001291109939,671.7351497651099,648.1991802397498,648.8355712890625,165293500,0.0,0.0,0.0,28.290051436457162,,,85334845.0,1.9369988894923287,-2.903100408426318,14.133756518953437,,,,
2025-11-21 00:00:00-05:00,651.3412595795126,660.7874729698119,647.1650267848305,655.2987670898438,123956200,0.0,0.0,0.0,33.401620106487144,,,87814830.0,1.411563399940534,-1.9198340740675723,14.307843393450238,,,,
2025-11-24 00:00:00-05:00,658.9380055466532,666.2662734630499,657.8442577670318,664.9437866210938,80437900,0.0,0.0,0.0,45.65009642572676,,,88669735.0,0.9071629682890109,0.45968551317947526,14.695431684079269,,,,
2025-11-25 00:00:00-05:00,664.8444060411854,672.3815071629971,660.717877921785,671.1982421875,81077100,0.0,0.0,0.0,48.375245923992445,,,89636685.0,0.9045080147709612,2.2633705056576803,15.118245345802478,,,,
2025-11-26 00:00:00-05:00,673.7934667684052,677.8404309302599,672.8885849296569,675.8318481445312,71879600,0.0,0.0,0.0,56.15071258476676,,,88947810.0,0.8081098342949646,2.5730836401788526,15.362619111389039,,,,
2025-11-28 00:00:00-05:00,677.0051081523229,679.7991961322198,676.6471609574353,679.5208129882812,49212000,0.0,0.0,0.0,57.83894857716679,,,87591620.0,0.5618345681927107,4.72927858105181,14.979640285586326,,,,
2025-12-01 00:00:00-05:00,674.9667014318244,679.1230277654502,674.8970904760725,676.41845703125,61201200,0.0,0.0,0.0,49.186020789971074,,,86293475.0,0.7092216416131115,3.2229100682117817,15.031656447141795,,,,
2025-12-02 00:00:00-05:00,678.0591325179204,679.9483994968172,675.4838303983408,677.67138671875,62953800,0.0,0.0,0.0,48.973084143890866,,,86575415.0,0.7271556249542668,1.914086627131506,15.031234444357592,,,,
2025-12-03 00:00:00-05:00,676.7167950740063,681.0321891246488,675.8417725523884,680.0180053710938,57238500,0.0,0.0,0.0,50.34668033135763,,,85515990.0,0.6693309637180135,1.31403252112956,14.411890806984523,,,,
2025-12-04 00:00:00-05:00,681.4199577792665,681.4895687361658,677.4824173401821,680.51513671875,61970300,0.0,0.0,0.0,59.8468712559611,,,84894385.0,0.7299693613423314,0.6929665399872054,14.374329287126619,,,,
2025-12-05 00:00:00-05:00,681.5890143183475,684.4925257185774,680.7040993957534,681.8078002929688,79241000,0.0,0.0,0.0,60.76685142313714,,,84604670.0,0.936603144956419,0.3365588310136003,13.746556229299362,,,,
2025-12-08 00:00:00-05:00,682.7027235077143,682.7524282821314,677.7111260885928,679.7594604492188,55231500,0.0,0.0,0.0,65.04189342444428,,,82336625.0,0.6708011167569717,0.49392552542579793,13.826402081738642,,,,
2025-12-09 00:00:00-05:00,679.2822138612034,681.5095218770947,678.7253868572307,679.1727905273438,58310100,0.0,0.0,0.0,70.98720614589774,,,81459985.0,0.7158128006038793,0.22155337203528802,12.70499057846152,,,,
2025-12-10 00:00:00-05:00,678.6955405173951,685.0692222502689,677.4526176554032,683.6771850585938,85671300,0.0,0.0,0.0,72.00071909099967,669.9324145507812,,82795880.0,1.034729022748475,0.5381004118417687,12.894196659446747,,,,
2025-12-11 00:00:00-05:00,681.2609148661827,685.3476304583654,678.3076987410943,685.26806640625,86173700,0.0,0.0,0.0,88.02400778686018,670.3444677734375,,83988940.0,1.0260124725946058,0.6984311488525075,12.912986817838082,,,,
2025-12-12 00:00:00-05:00,684.2737672143002,684.9797692517327,675.3247225627367,677.9000854492188,113160300,0.0,0.0,0.0,73.15138995868637,670.5938500976563,,84474065.0,1.3395862978773425,-0.573140237185743,12.02611469241821,,,,
2025-12-15 00:00:00-05:00,681.8574988128718,681.8774049984522,675.4042533093998,676.8758544921875,90811000,0.0,0.0,0.0,64.84412134980934,670.8229443359374,,84172280.0,1.078870621064322,-0.42420975724642984,12.04910883422031,,,,
2025-12-16 00:00:00-05:00,675.3843754405706,677.2239376857725,671.1584377196804,675.0264282226562,122030600,0.0,0.0,0.0,55.3486912459216,670.9673229980468,,85751005.0,1.4230806974215637,-0.6105018284769725,11.540682176084289,,,,
2025-12-17 00:00:00-05:00,676.0406154817738,676.5874893555698,667.3998140691156,667.5986938476562,110625200,0.0,0.0,0.0,39.32985287138111,671.0126647949219,,85558890.0,1.2929714258798823,-2.351766529924426,11.855153415257606,,,,
2025-12-18 00:00:00-05:00,673.7635606688432,676.8857972779194,671.0788959983324,672.6399536132812,108650100,0.0,0.0,0.0,41.384412217847455,671.0794836425781,,86256245.0,1.2596201005504006,-1.842798958835823,12.049064115055529,,,,
2025-12-19 00:00:00-05:00,674.747283458469,679.2350273728672,674.6275542880097,678.7363891601562,103599500,1.993,0.0,0.0,52.69987246040514,671.3070104980469,,83171545.0,1.2456123064685163,0.12336681007840689,10.700455191217154,,,,
2025-12-22 00:00:00-05:00,682.0772531068674,683.4933686131409,678.7364013691785,682.96484375,69556700,0.0,0.0,0.0,55.76601397225228,671.9798522949219,,80451570.0,0.8645785284239947,0.899572531270243,10.423438628834392,,,,
2025-12-23 00:00:00-05:00,682.0572680421344,686.325640311278,682.0074163952171,686.0863037109375,64840000,0.0,0.0,0.0,56.5003000953244,672.5158581542969,,79671675.0,0.8138400504319759,1.6384359227833434,9.361076992734024,,,,
2025-12-24 00:00:00-05:00,686.0763204450832,688.9484813838191,685.9267046355759,688.4996948242188,39445600,0.0,0.0,0.0,58.21569472199439,673.116240234375,,77590100.0,0.5083844459538008,3.1307731979074216,8.93190851287188,,,,
2025-12-26 00:00:00-05:00,688.758988861415,689.7761694005526,687.392725060237,688.4298706054688,41613300,0.0,0.0,0.0,56.98965878899858,673.6567590332031,,76076785.0,0.5469907804332163,2.3474545196679797,8.690684456902629,,,,
2025-12-29 00:00:00-05:00,685.6674092439482,687.322922191004,684.2014421207446,685.9765625,62559500,0.0,0.0,0.0,56.50658636888009,674.2382983398437,,76744160.0,0.8151695190878367,1.0667135953624785,8.658295629429714,,,,
2025-12-30 00:00:00-05:00,685.5777200962995,686.6846823672308,684.7100944386586,685.138916015625,47160700,0.0,0.0,0.0,56.21129418642334,674.7285083007813,,76042135.0,0.6201916871481844,0.31832857657616564,8.478976527117975,,,,
2025-12-31 00:00:00-05:00,685.2685588951464,685.4879304984822,679.8533550408816,680.062744140625,74144800,0.0,0.0,0.0,46.281302081174736,674.9797778320312,,76601685.0,0.9679264888233202,-0.8779594546242886,8.930678343191524,,,,
2026-01-02 00:00:00-05:00,683.842447277036,684.999261161205,677.9684744567207,681.309326171875,89377200,0.0,0.0,0.0,45.89801060471141,675.2561779785157,,78208620.0,1.1428049746946052,-1.0443532083452167,8.870025514407905,,,,
2026-01-05 00:00:00-05:00,684.6701449336617,687.5522884526621,684.5106074856512,685.846923828125,71927200,0.0,0.0,0.0,58.747492337604925,675.692734375,,78706465.0,0.9138664784398588,-0.3751938850462766,9.169729764458584,,,,
2026-01-06 00:00:00-05:00,686.0563439630641,690.4344019511112,685.9067890249802,689.92578125,69273800,0.0,0.0,0.0,63.459596659053766,676.1321166992187,,78208105.0,0.8857624155450384,0.5757075337395445,9.36758645767923,,,,
2026-01-07 00:00:00-05:00,690.3047811958188,692.0699799720542,687.4426026835383,687.701904296875,75588300,0.0,0.0,0.0,62.97318469117354,676.4178430175781,,79225945.0,0.9540851800505503,0.37408301022439083,9.379108598757377,,,,
2026-01-08 00:00:00-05:00,686.9439569075789,688.7390423054183,685.6175622141362,687.632080078125,64019200,0.0,0.0,0.0,74.13969866838077,676.5432775878907,,79511400.0,0.805157499427755,1.11303493724908,9.367266971023767,,,,
2026-01-09 00:00:00-05:00,688.7489932725086,693.4162394407576,687.3029303433501,692.1796264648438,80125500,0.0,0.0,0.0,73.82830177444325,676.7234692382813,,79234110.0,1.0112500790379295,1.5955014668662448,9.365670025824494,,,,
2026-01-12 00:00:00-05:00,688.7988836287034,694.1941832506386,688.7490319805348,693.2666625976562,63976000,0.0,0.0,0.0,70.18565812992,676.918837890625,,78124225.0,0.818900923497161,1.0818359770599084,9.351379856246131,,,,
2026-01-13 00:00:00-05:00,693.595779418591,694.194181802135,689.467040360938,691.8804931640625,78309700,0.0,0.0,0.0,63.44772222610924,677.2368273925781,,76381695.0,1.025241715308884,0.28332205683356815,8.411411195244447,,,,
2026-01-14 00:00:00-05:00,689.1180078469732,689.8360176539858,684.1714948792828,688.479736328125,94676700,0.0,0.0,0.0,53.57991871373431,677.4424560546875,,76574980.0,1.2363920956949646,0.11310598769467273,8.63196171224222,,,,
2026-01-15 00:00:00-05:00,692.678285342935,693.5558934557131,689.3673203481677,690.3546142578125,77862000,0.0,0.0,0.0,52.81987711344644,677.6601257324219,,74366550.0,1.0470029872301458,0.3959289071240324,8.54728208494627,,,,
2026-01-16 00:00:00-05:00,691.7707369284135,692.359156800422,688.22043529661,689.7761840820312,79289200,0.0,0.0,0.0,52.01551889240575,678.0273095703125,,72799750.0,1.0891411028197213,-0.3472281313865788,7.303325582980889,,,,
2026-01-20 00:00:00-05:00,679.6338820353151,682.9049778344743,674.7272992054969,675.7345581054688,111623300,0.0,0.0,0.0,38.61670648665589,678.0671264648438,,72948410.0,1.5301676897412844,-2.528912096608693,10.380440030920028,,,,
